text,hs_code,hs_chapter,hs_desc,language
"Other cargo vessels, commercial grade, for import, for regional retail supply chain, for mixed-lot cargo.",890190,Ships,Other cargo vessels,en
"Lithium-ion power bank, 20000mAh, for export under standard commercial terms, for mixed-lot cargo.",850760,Electronics,Lithium-ion accumulators,en
Extracts and concentrates of coffee for industrial/commercial use,210111,Food Preparations,Extracts and concentrates of coffee,en
"Unbleached plain weave cotton for industrial/commercial use, for customs clearance and import declaration, shipping term CIF.",520812,Textiles,Unbleached plain weave cotton,en
"Instantaneous gas water heaters for industrial/commercial use, for customs clearance and import declaration, for scheduled maritime transport.",841911,Machinery,Instantaneous gas water heaters,en
"Shipment of wine in containers ≤2l, FOB terms",220421,Beverages,Wine in containers ≤2L,en
Fresh boneless beef cuts for restaurant supply,020130,Meat,Fresh or chilled boneless bovine meat,en
"Shipment of instruments for measuring pressure, FOB terms, for bonded warehouse delivery, for 20ft container loading.",902620,Instruments,Instruments for measuring pressure,en
"Imported other frozen fish, customs declaration, for bonded warehouse delivery, shipping term FOB.",030389,Fish,Other frozen fish,en
"Cold-rolled iron or steel coil, packed for international trade, for cross-border shipment, shipping term CIF.",720917,Steel,Cold-rolled iron or steel coil,en
"Women's trousers of cotton - standard quality, bulk shipment, for international wholesale distribution, shipping term CIF.",620462,Garments,Women's trousers of cotton,en
"Trade declaration: other medium petroleum oils, new, for bonded warehouse delivery, packed in cartons.",271019,Mineral Fuels,Other medium petroleum oils,en
"Other beauty or make-up preparations for industrial/commercial use, for bulk procurement program, shipping term FOB.",330499,Cosmetics,Other beauty or make-up preparations,en
"Other beauty or make-up preparations for industrial/commercial use, for bulk procurement program, for 20ft container loading.",330499,Cosmetics,Other beauty or make-up preparations,en
"Other digital processing units - standard quality, bulk shipment, for cross-border shipment, with standard commercial invoice and packing list.",847141,Electronics,Other digital processing units,en
"Textured polyester yarn, quantity: various, for wholesale, for export under standard commercial terms, packed in cartons.",540233,Textiles,Textured polyester yarn,en
"Export grade instantaneous gas water heaters, certified, for international wholesale distribution, with standard commercial invoice and packing list.",841911,Machinery,Instantaneous gas water heaters,en
"Android smart television, 32 inch colour",852872,Electronics,Other colour TV receivers,en
"Rubber sole work boots, synthetic, for bulk procurement program, shipping term FOB.",640399,Footwear,Other footwear with rubber soles,en
"Sweet biscuits - standard quality, bulk shipment",190531,Food Preparations,Sweet biscuits,en
"Other games and articles for games, quantity: various, for wholesale",950490,Toys,Other games and articles for games,en
"Men's slim fit cotton jeans, for bonded warehouse delivery, for mixed-lot cargo.",620342,Garments,Men's trousers of cotton,en
"Export grade unwrought aluminium alloys, certified",760120,Metals,Unwrought aluminium alloys,en
"Shipment of cocoa beans, whole or broken, FOB terms",180100,Cocoa,"Cocoa beans, whole or broken",en
"Unbleached plain weave cotton for industrial/commercial use, for bonded warehouse delivery, for mixed-lot cargo.",520812,Textiles,Unbleached plain weave cotton,en
"Women's trousers of cotton for industrial/commercial use, for bulk procurement program, palletized for container shipment.",620462,Garments,Women's trousers of cotton,en
"Pepper, neither crushed nor ground, commercial grade, for import",090411,Spices,"Pepper, neither crushed nor ground",en
"Trade declaration: diesel motor cars, 1500-2500cc, new, for customs clearance and import declaration, palletized for container shipment.",870332,Vehicles,"Diesel motor cars, 1500-2500cc",en
"Cocoa beans, whole or broken, meeting international standards, for customs clearance and import declaration, packed in cartons.",180100,Cocoa,"Cocoa beans, whole or broken",en
"Trade declaration: other medical instruments, new",901890,Medical,Other medical instruments,en
"Unwrought aluminium alloys, packed for international trade",760120,Metals,Unwrought aluminium alloys,en
"Trade declaration: toilet and kitchen linen of cotton, new",630260,Textiles,Toilet and kitchen linen of cotton,en
"Motor cars, >3000cc, commercial grade, for import, for customs clearance and import declaration, for scheduled maritime transport.",870324,Vehicles,"Motor cars, >3000cc",en
"Children's T-shirts, 100% cotton, knitted, for export under standard commercial terms, for mixed-lot cargo.",610910,Garments,"T-shirts and singlets, cotton, knitted",en
"T-shirt style carry bags, plastic",392321,Plastics,Sacks and bags of ethylene polymers,en
"Hot rolled steel sheets, S235JR, coiled, for customs clearance and import declaration, palletized for container shipment.",720839,Steel,"Hot-rolled iron or steel, coil >600mm",en
"Imported mineral or chemical fertilizers with npk, customs declaration, for bonded warehouse delivery, packed in cartons.",310520,Chemicals,Mineral or chemical fertilizers with NPK,en
"Lead-acid accumulators for vehicles - standard quality, bulk shipment",850710,Electronics,Lead-acid accumulators for vehicles,en
"Imported textured polyester yarn, customs declaration",540233,Textiles,Textured polyester yarn,en
"Other wooden furniture, packed for international trade",940360,Furniture,Other wooden furniture,en
"Uncoated paper, 40-150 g/m², packed for international trade, for international wholesale distribution, for mixed-lot cargo.",480256,Paper,"Uncoated paper, 40-150 g/m²",en
"Toy ride-on car, battery operated",950300,Toys,"Tricycles, scooters and pedal cars (toys)",en
"Electronic integrated circuits, memories for industrial/commercial use",854232,Electronics,"Electronic integrated circuits, memories",en
"Refined copper cathodes, meeting international standards, for bulk procurement program, with standard commercial invoice and packing list.",740311,Metals,Refined copper cathodes,en
"Processing units for digital machines, meeting international standards, for bonded warehouse delivery, for mixed-lot cargo.",847150,Electronics,Processing units for digital machines,en
"Vegetable saps and extracts, commercial grade, for import",130219,Plants,Vegetable saps and extracts,en
"Soya beans, other for industrial/commercial use, for export under standard commercial terms, packed in cartons.",120190,Oil Seeds,"Soya beans, other",en
Spark-ignition engines >1000cc for industrial/commercial use,840734,Machinery,Spark-ignition engines >1000cc,en
"Combined refrigerator-freezers, meeting international standards",841810,Machinery,Combined refrigerator-freezers,en
"Imported mineral or chemical fertilizers with npk, customs declaration, for bonded warehouse delivery, with standard commercial invoice and packing list.",310520,Chemicals,Mineral or chemical fertilizers with NPK,en
"Parts of turbo-jets, meeting international standards, for export under standard commercial terms, for 20ft container loading.",841191,Machinery,Parts of turbo-jets,en
"Microcontroller ICs, 32-bit, embedded, for customs clearance and import declaration, shipping term FOB.",854231,Electronics,"Electronic integrated circuits, processors",en
"Photosensitive semiconductor devices, quantity: various, for wholesale",854140,Electronics,Photosensitive semiconductor devices,en
"Sticky rice, glutinous, wholly milled, for bulk procurement program, palletized for container shipment.",100630,Cereals,Semi-milled or wholly milled rice,en
"Milk powder, fat content ≤1.5%, commercial grade, for import",040210,Dairy,"Milk powder, fat content ≤1.5%",en
"Export grade wine in containers ≤2l, certified",220421,Beverages,Wine in containers ≤2L,en
"棉质针织T恤 男款 圆领, for bulk procurement program, palletized for container shipment.",610910,Garments,"T-shirts and singlets, cotton, knitted",zh
"Export grade other structures of iron or steel, certified, for export under standard commercial terms, shipping term CIF.",730890,Steel,Other structures of iron or steel,en
"IQF frozen vannamei shrimp, 31/40 count, for bulk procurement program, for mixed-lot cargo.",030617,Fish,Frozen shrimps and prawns,en
Sweet biscuits for industrial/commercial use,190531,Food Preparations,Sweet biscuits,en
"Trade declaration: photosensitive semiconductor devices, new",854140,Electronics,Photosensitive semiconductor devices,en
丰田凯美瑞 汽油发动机 2.5L,870323,Vehicles,"Motor cars, 1500-3000cc",zh
"Toilet soap in bars, quantity: various, for wholesale, for export under standard commercial terms, for 20ft container loading.",340111,Cosmetics,Toilet soap in bars,en
"Natural gas, liquefied, commercial grade, for import, for customs clearance and import declaration, shipping term FOB.",271111,Mineral Fuels,"Natural gas, liquefied",en
"Gạo Jasmine Việt Nam, đã xát trắng",100630,Cereals,Semi-milled or wholly milled rice,vi
Other electronic integrated circuits for industrial/commercial use,854239,Electronics,Other electronic integrated circuits,en
"Cartons, boxes of corrugated paper - standard quality, bulk shipment",481910,Paper,"Cartons, boxes of corrugated paper",en
